cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
002-1,G2,51,54.257646,173.252045,3.508858,2.5,3.1930287896622316,43.90296827021494,45.3,3906.7,-49.98462085158649,0.7996935748520256
002-1,G2,101,53.682218,171.113379,3.524852,2.5,3.1873439927592444,44.05919317300233,45.2,3865.2,-49.98448053995345,0.8037433171387453
002-1,G2,151,52.779987,167.782866,3.469949,2.5,3.178729573908469,44.12937927406629,45.4,3800.3,-49.98423250789058,0.811003768267295
002-1,G2,201,52.34208,166.156328,3.468258,2.5,3.174334172413793,44.14281167108753,45.5,3768.7,-49.98412349496021,0.8143182707005765
002-1,G2,251,52.502453,166.649783,3.511473,2.5,3.173962062929667,44.2939714436806,45.5,3780.3,-49.98418557800105,0.8128454180987786
002-1,G2,301,52.016826,164.999052,3.529312,2.5,3.1718686602615427,45.41216973578864,46.6,3745.3,-49.98399430104083,0.816813182490132
002-1,G2,351,51.515342,162.936339,3.472256,2.5,3.1626821767717597,43.70118566424144,45.9,3709.2,-49.98389921880895,0.8207961950530414
002-1,G2,401,51.554032,163.27228,3.511319,2.5,3.1669684589280904,45.03178023161864,46.4,3712.0,-49.98389365634258,0.820726565357253
002-1,G2,451,51.242014,163.908769,3.527159,2.5,3.1985787296125716,44.26933080465998,45.6,3689.5,-49.983870316987264,0.8231090534142702
002-1,G2,501,51.013041,162.942833,3.509781,2.500308,3.1940946265650516,44.279314099074575,45.5,3673.0,-49.98388846761023,0.8249821917219637
002-1,G2,551,50.50833,161.031634,3.528697,2.5,3.188114581913139,43.97097306212205,45.2,3636.7,-49.98365950907091,0.8290217076642127
